Algoritmo,Arquivo,Execucao,Parametros,Tempo_Inicio,Tempo_Termino,Tempo_Total,Melhor_Fitness
GA,art_16_irregular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:44:19.619077,2026-04-28 13:46:33.852119,0:02:14.233042,289.17147295921103
GA,art_16_regular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:44:41.198377,2026-04-28 13:45:25.903434,0:00:44.705057,122.06553826553059
GA,art_16_regular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:44:44.925620,2026-04-28 13:46:11.508524,0:01:26.582904,222.91342587806628
GA,art_17_hole_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:45:01.133583,2026-04-28 13:48:51.219099,0:03:50.085516,275.8881494517147
GA,art_17_hole_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:45:03.961390,2026-04-28 13:46:38.831998,0:01:34.870608,140.39453879518118
GA,art_17_irregular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:45:08.369971,2026-04-28 13:48:15.793386,0:03:07.423415,324.32585938985017
GA,art_17_irregular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:45:21.816055,2026-04-28 13:46:37.122187,0:01:15.306132,181.99488096458026
GA,art_17_regular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:45:21.913434,2026-04-28 13:47:57.473971,0:02:35.560537,298.03493489502944
GA,art_17_regular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:45:28.484704,2026-04-28 13:46:17.477742,0:00:48.993038,121.20193915277457
GA,art_18_hole_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:45:28.705771,2026-04-28 13:47:14.079364,0:01:45.373593,271.09024135799064
GA,art_18_hole_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:45:37.676274,2026-04-28 13:47:43.112447,0:02:05.436173,317.7491042523278
GA,art_18_irregular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:45:47.926113,2026-04-28 13:47:51.338325,0:02:03.412212,263.2046775769741
GA,art_18_irregular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:45:59.389191,2026-04-28 13:47:22.491992,0:01:23.102801,258.14559844989844
GA,art_18_regular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:46:15.004133,2026-04-28 13:46:56.027796,0:00:41.023663,72.99074838169169
GA,art_18_regular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:46:20.256535,2026-04-28 13:47:35.176098,0:01:14.919563,78.22798918351812
GA,art_19_hole_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:46:24.330050,2026-04-28 13:48:32.715881,0:02:08.385831,198.11776734633358
GA,art_19_hole_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:46:26.764723,2026-04-28 13:48:32.345652,0:02:05.580929,510.3151780725015
GA,art_19_irregular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:46:36.822794,2026-04-28 13:49:47.643327,0:03:10.820533,236.2506165189403
GA,art_19_irregular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:46:38.131699,2026-04-28 13:48:01.477462,0:01:23.345763,164.16298710275302
GA,art_19_regular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:46:40.548673,2026-04-28 13:47:34.877008,0:00:54.328335,195.38343081479786
GA,art_19_regular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:46:41.853565,2026-04-28 13:48:09.195347,0:01:27.341782,332.91968695759834
GA,art_1_hole_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:46:58.489159,2026-04-28 13:49:05.866786,0:02:07.377627,284.4044226615134
GA,art_1_hole_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:47:18.274166,2026-04-28 13:48:53.279207,0:01:35.005041,449.07783924821683
GA,art_1_irregular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:47:26.486998,2026-04-28 13:48:16.069397,0:00:49.582399,139.02995327129375
GA,art_1_irregular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:47:37.704077,2026-04-28 13:49:32.881175,0:01:55.177098,156.78107876632313
GA,art_1_regular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:47:38.100745,2026-04-28 13:49:04.381183,0:01:26.280438,283.7192035969176
GA,art_1_regular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:47:47.312359,2026-04-28 13:49:16.855690,0:01:29.543331,306.17028378374783
